1200,38,6705
1166,29,6746
1150,45,6770
1109,60,6814
1101,116,6841
1076,201,6879
1061,336,6911
1034,445,6944
917,533,6975
812,539,7007
785,600,7055
774,687,7079
769,756,7114
753,794,7151
739,813,7178
739,826,7213
706,871,7246
629,911,7280
499,876,7315
398,844,7352
307,818,7384
255,761,7416
258,741,7457
229,759,7484
239,814,7520
321,735,7552
387,705,7585
438,701,7630
476,701,7663
571,686,7697
679,678,7726
763,619,7763
818,554,7798
897,520,7824
936,508,7863
995,482,7897
1085,512,7931
1121,530,7960
1185,562,7997
1229,597,8030
1275,592,8064
1298,589,8096
1293,567,8130
1304,598,8163
1237,708,8200
1191,865,8232
1049,1007,8271
999,1001,8309
918,967,8336
846,960,8372
812,967,8406
766,958,8436
764,920,8480
766,885,8501
743,869,8544
726,855,8574
675,823,8607
650,797,8640
626,754,8679
630,736,8717
604,698,8752
585,668,8774
594,692,8813
672,731,8847
682,765,8880
695,812,8912
740,844,8946
772,867,8980
800,877,9026
783,880,9050
802,934,9081
816,1020,9117
792,1032,9151
804,1074,9185
778,1224,9237
745,1242,9256
770,1249,9316
792,1228,9329
795,1247,9383
797,1254,9395
782,1231,9449
813,1229,9462
827,1212,9516
830,1241,9529
834,1192,9597
798,1264,9647
799,1220,9661
780,1185,9720
764,1154,9731
779,1090,9798
753,1075,9833
757,1050,9870
767,1067,9900
723,1055,9948
690,1015,9968
634,955,10030
587,906,10041
559,885,10114
458,897,10135
373,911,10176
404,885,10207
442,883,10239
485,858,10274
527,838,10313
623,937,10351
676,1085,10375
683,1173,10413
758,1205,10443
830,1243,10480
863,1272,10512
953,1312,10549
952,1335,10595
947,1351,10614
958,1393,10657
964,1425,10679
940,1445,10718
908,1434,10752
900,1423,10784
879,1408,10815
894,1386,10863
871,1357,10887
880,1306,10920
884,1258,10952
955,1156,10995
1003,1056,11020
1024,968,11057
1010,927,11088
984,941,11122
979,919,11161
1014,899,11195
1049,875,11227
1025,861,11261
1045,860,11298
993,904,11332
972,886,11367
963,937,11402
957,934,11430
954,897,11465
928,953,11506
958,977,11533
920,999,11570
868,1014,11604
815,1019,11640
720,1047,11674
674,1006,11699
605,991,11737
514,958,11772
510,938,11806
475,890,11840
464,901,11876
441,906,11911
470,890,11951
461,839,11975
472,865,12010
497,915,12047
545,896,12075
530,910,12110
535,921,12144
543,937,12174
573,931,12212
