"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","71","173347","0.0-6.0-2.0-0.17","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","72","173458","0.0-6.0-2.0-1.17","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","73","175034","0.0-6.0-2.0-2.17","","","","","560","5","","[""rect_1"",""circle""]","","","","","","","","","","","","","[{""x"":1090,""y"":527,""t"":5},{""x"":1079,""y"":474,""t"":41},{""x"":1058,""y"":451,""t"":73},{""x"":1025,""y"":451,""t"":114},{""x"":1013,""y"":473,""t"":140},{""x"":986,""y"":490,""t"":181},{""x"":983,""y"":509,""t"":208},{""x"":973,""y"":536,""t"":251},{""x"":964,""y"":560,""t"":273},{""x"":891,""y"":558,""t"":314},{""x"":830,""y"":557,""t"":342},{""x"":759,""y"":551,""t"":384},{""x"":690,""y"":547,""t"":412},{""x"":635,""y"":538,""t"":458},{""x"":598,""y"":554,""t"":484},{""x"":716,""y"":645,""t"":513}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","74","176051","0.0-6.0-2.0-0.18","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","75","176162","0.0-6.0-2.0-1.18","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","76","177778","0.0-6.0-2.0-2.18","","","","","603","5","","[""rect"",""ring_1""]","","","","","","","","","","","","","[{""x"":789,""y"":646,""t"":3},{""x"":796,""y"":622,""t"":38},{""x"":831,""y"":620,""t"":77},{""x"":854,""y"":634,""t"":105},{""x"":900,""y"":648,""t"":151},{""x"":933,""y"":632,""t"":179},{""x"":947,""y"":625,""t"":208},{""x"":954,""y"":620,""t"":249},{""x"":952,""y"":605,""t"":277},{""x"":940,""y"":617,""t"":317},{""x"":928,""y"":627,""t"":343},{""x"":945,""y"":603,""t"":379},{""x"":958,""y"":606,""t"":421},{""x"":970,""y"":580,""t"":449},{""x"":966,""y"":580,""t"":481},{""x"":973,""y"":574,""t"":524},{""x"":971,""y"":575,""t"":551},{""x"":965,""y"":593,""t"":582}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","77","178801","0.0-6.0-2.0-0.19","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","78","178915","0.0-6.0-2.0-1.19","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","79","180428","0.0-6.0-2.0-2.19","","","","","499","4","","[""circle"",""rect_1""]","","","","","","","","","","","","","[{""x"":960,""y"":587,""t"":5},{""x"":954,""y"":581,""t"":40},{""x"":916,""y"":530,""t"":73},{""x"":913,""y"":568,""t"":108},{""x"":917,""y"":559,""t"":141},{""x"":902,""y"":580,""t"":189},{""x"":903,""y"":564,""t"":216},{""x"":936,""y"":572,""t"":244},{""x"":952,""y"":577,""t"":276},{""x"":962,""y"":579,""t"":317},{""x"":861,""y"":568,""t"":345},{""x"":834,""y"":562,""t"":378},{""x"":757,""y"":603,""t"":421},{""x"":707,""y"":579,""t"":446}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","circle","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","80","181445","0.0-6.0-2.0-0.20","","","","","null","null","","","","","","","","","recognition","","[""6"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""5"",""5"",""4"",""5"",""6"",""4"",""4"",""6"",""6"",""5"",""5"",""4"",""5"",""6"",""6"",""6"",""6"",""4"",""5"",""6"",""5"",""4"",""5"",""4"",""4"",""5"",""6"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""6"",""5"",""4"",""6"",""4"",""5"",""6"",""4"",""4"",""5"",""4"",""5"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""6"",""4"",""6"",""4"",""4"",""5"",""6"",""6"",""5"",""5"",""5""]","1000","2","shape","","","","","",""
