"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","52","95842","0.0-6.0-2.0-1.13","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","53","97405","0.0-6.0-2.0-2.13","","","","","555","6","","[""ring_1"",""triangle""]","","","","","","","","","","","","[{""x"":840,""y"":501,""t"":4},{""x"":846,""y"":487,""t"":40},{""x"":866,""y"":492,""t"":72},{""x"":878,""y"":492,""t"":111},{""x"":928,""y"":502,""t"":140},{""x"":955,""y"":504,""t"":171},{""x"":953,""y"":509,""t"":208},{""x"":939,""y"":513,""t"":243},{""x"":944,""y"":518,""t"":276},{""x"":959,""y"":512,""t"":309},{""x"":1009,""y"":519,""t"":344},{""x"":1070,""y"":518,""t"":378},{""x"":1117,""y"":516,""t"":413},{""x"":1143,""y"":521,""t"":446},{""x"":1171,""y"":521,""t"":480},{""x"":1184,""y"":524,""t"":513}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","54","98414","0.0-6.0-2.0-0.14","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","55","98523","0.0-6.0-2.0-1.14","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","56","100141","0.0-6.0-2.0-2.14","","","","","611","5","","[""triangle_1"",""circle""]","","","","","","","","","","","","[{""x"":1188,""y"":534,""t"":4},{""x"":1169,""y"":554,""t"":45},{""x"":1153,""y"":556,""t"":73},{""x"":1142,""y"":543,""t"":106},{""x"":1085,""y"":542,""t"":140},{""x"":1065,""y"":533,""t"":174},{""x"":1039,""y"":524,""t"":208},{""x"":1038,""y"":528,""t"":243},{""x"":1033,""y"":528,""t"":275},{""x"":1002,""y"":533,""t"":310},{""x"":1009,""y"":517,""t"":344},{""x"":961,""y"":523,""t"":378},{""x"":909,""y"":543,""t"":413},{""x"":884,""y"":542,""t"":446},{""x"":938,""y"":543,""t"":481},{""x"":991,""y"":535,""t"":513},{""x"":1029,""y"":532,""t"":548},{""x"":1071,""y"":550,""t"":582}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect_1","5","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","57","101148","0.0-6.0-2.0-0.15","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","58","101258","0.0-6.0-2.0-1.15","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","59","102765","0.0-6.0-2.0-2.15","","","","","500","6","","[""rect"",""triangle_1""]","","","","","","","","","","","","[{""x"":1039,""y"":548,""t"":5},{""x"":1006,""y"":545,""t"":44},{""x"":961,""y"":544,""t"":75},{""x"":947,""y"":527,""t"":106},{""x"":943,""y"":516,""t"":141},{""x"":948,""y"":504,""t"":173},{""x"":965,""y"":512,""t"":207},{""x"":974,""y"":516,""t"":242},{""x"":981,""y"":506,""t"":276},{""x"":995,""y"":500,""t"":310},{""x"":990,""y"":502,""t"":344},{""x"":1041,""y"":505,""t"":377},{""x"":1088,""y"":505,""t"":411},{""x"":1126,""y"":511,""t"":445}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle_1","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","60","103775","0.0-6.0-2.0-0.16","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
"","canvas-keyboard-response","61","103882","0.0-6.0-2.0-1.16","","","","","null","null","","","","","","","","","recognition","[""5"",""4"",""5"",""4"",""6"",""5"",""6"",""6"",""6"",""4"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""5"",""4"",""5"",""4"",""6"",""5"",""6"",""4"",""5"",""6"",""4"",""6"",""5"",""5"",""6"",""6"",""5"",""4"",""4"",""5"",""4"",""4"",""6"",""5"",""5"",""4"",""6"",""5"",""6"",""6"",""5"",""4"",""4"",""6"",""4"",""6"",""5""]","1000","2","shape","","","","","",""
