"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","shapeorcolor","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","74","131977","0.0-5.0-1.0-1.21","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","75","134327","0.0-5.0-1.0-2.21","","","","","833","2","","","[""circle"",""star"",""rect"",""hexagram""]","","","","","","","","","","","[{""x"":1035,""y"":803,""t"":2},{""x"":1027,""y"":789,""t"":57},{""x"":1023,""y"":782,""t"":75},{""x"":1024,""y"":780,""t"":112},{""x"":1033,""y"":770,""t"":145},{""x"":1023,""y"":741,""t"":181},{""x"":1046,""y"":734,""t"":213},{""x"":1065,""y"":729,""t"":242},{""x"":1058,""y"":711,""t"":276},{""x"":1045,""y"":689,""t"":316},{""x"":1054,""y"":699,""t"":356},{""x"":1073,""y"":700,""t"":377},{""x"":1025,""y"":718,""t"":414},{""x"":951,""y"":727,""t"":448},{""x"":921,""y"":729,""t"":482},{""x"":926,""y"":740,""t"":513},{""x"":918,""y"":771,""t"":545},{""x"":914,""y"":792,""t"":588},{""x"":930,""y"":807,""t"":623},{""x"":940,""y"":819,""t"":655},{""x"":938,""y"":827,""t"":694},{""x"":952,""y"":815,""t"":727},{""x"":963,""y"":804,""t"":750},{""x"":957,""y"":803,""t"":785}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","hexagram","2","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":100,""height"":100,""top"":75,""right"":600,""bottom"":175,""left"":500},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":92.37604307034013,""height"":80,""top"":685,""right"":596.18802153517,""bottom"":765,""left"":503.81197846482996}]"
"","canvas-keyboard-response","76","135357","0.0-5.0-1.0-0.22","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","77","135476","0.0-5.0-1.0-1.22","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","78","137687","0.0-5.0-1.0-2.22","","","","","697","2","","","[""rect"",""hexagram"",""star"",""triangle""]","","","","","","","","","","","[{""x"":1047,""y"":788,""t"":2},{""x"":1079,""y"":785,""t"":45},{""x"":1125,""y"":757,""t"":78},{""x"":1170,""y"":728,""t"":113},{""x"":1189,""y"":704,""t"":149},{""x"":1208,""y"":689,""t"":180},{""x"":1220,""y"":664,""t"":217},{""x"":1198,""y"":655,""t"":253},{""x"":1160,""y"":653,""t"":273},{""x"":1141,""y"":668,""t"":311},{""x"":1124,""y"":673,""t"":348},{""x"":1105,""y"":690,""t"":384},{""x"":1086,""y"":701,""t"":415},{""x"":1070,""y"":720,""t"":447},{""x"":1074,""y"":743,""t"":482},{""x"":1061,""y"":761,""t"":519},{""x"":1061,""y"":769,""t"":549},{""x"":1100,""y"":771,""t"":580},{""x"":1141,""y"":768,""t"":616},{""x"":1141,""y"":755,""t"":649}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","triangle","2","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":92.37604307034013,""height"":80,""top"":85,""right"":596.18802153517,""bottom"":165,""left"":503.81197846482996},{""x"":850,""y"":425,""width"":100,""height"":100,""top"":375,""right"":900,""bottom"":475,""left"":800},{""x"":550,""y"":725,""width"":92,""height"":92,""top"":679,""right"":596,""bottom"":771,""left"":504}]"
"","canvas-keyboard-response","79","138706","0.0-5.0-1.0-0.23","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","80","138817","0.0-5.0-1.0-1.23","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","81","140822","0.0-5.0-1.0-2.23","","","","","478","6","","","[""rect"",""triangle"",""hexagram"",""circle""]","","","","","","","","","","","[{""x"":1155,""y"":724,""t"":2},{""x"":1136,""y"":730,""t"":57},{""x"":1130,""y"":733,""t"":78},{""x"":1141,""y"":751,""t"":112},{""x"":1159,""y"":737,""t"":145},{""x"":1162,""y"":737,""t"":180},{""x"":1167,""y"":737,""t"":213},{""x"":1178,""y"":743,""t"":245},{""x"":1189,""y"":732,""t"":276},{""x"":1208,""y"":728,""t"":310},{""x"":1187,""y"":723,""t"":342},{""x"":1179,""y"":727,""t"":376},{""x"":1141,""y"":736,""t"":424}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","hexagram","6","true","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":92,""height"":92,""top"":79,""right"":596,""bottom"":171,""left"":504},{""x"":850,""y"":425,""width"":92.37604307034013,""height"":80,""top"":385,""right"":896.18802153517,""bottom"":465,""left"":803.81197846483},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
"","canvas-keyboard-response","82","141851","0.0-5.0-1.0-0.24","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
"","canvas-keyboard-response","83","141962","0.0-5.0-1.0-1.24","","","","","null","null","","","","","","","","","recognition","[""8"",""4"",""4"",""4"",""2"",""6"",""6"",""5"",""8"",""8"",""5"",""2"",""4"",""5"",""6"",""8"",""5"",""5"",""4"",""6"",""2"",""2"",""2"",""6"",""8"",""6"",""4"",""5"",""6"",""2"",""2"",""6"",""8"",""8"",""8"",""4"",""8"",""2"",""4"",""2"",""4"",""5"",""5"",""6"",""6"",""4"",""5"",""2"",""5"",""8""]","1500","0","","","","","","",""
