"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","81","150982","0.0-6.0-2.0-2.22","","","","","696","2","","[""hexagram"",""rect"",""ring_1"",""star""]","","","","","","","","","","","","[{""x"":1272,""y"":512,""t"":4},{""x"":1197,""y"":514,""t"":46},{""x"":1133,""y"":516,""t"":74},{""x"":1065,""y"":520,""t"":106},{""x"":1043,""y"":518,""t"":140},{""x"":1027,""y"":508,""t"":174},{""x"":1014,""y"":512,""t"":208},{""x"":991,""y"":526,""t"":242},{""x"":1003,""y"":533,""t"":276},{""x"":1031,""y"":555,""t"":310},{""x"":1091,""y"":559,""t"":343},{""x"":1154,""y"":556,""t"":377},{""x"":1161,""y"":585,""t"":411},{""x"":1105,""y"":643,""t"":446},{""x"":1052,""y"":698,""t"":478},{""x"":1010,""y"":755,""t"":514},{""x"":989,""y"":798,""t"":548},{""x"":962,""y"":826,""t"":582},{""x"":951,""y"":844,""t"":616},{""x"":905,""y"":841,""t"":650}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","2","true","[{""x"":250,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":296.18802153517004,""bottom"":540,""left"":203.81197846482993},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":100,""height"":100,""top"":750,""right"":600,""bottom"":850,""left"":500}]"
"","canvas-keyboard-response","82","151990","0.0-6.0-2.0-0.23","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","83","152097","0.0-6.0-2.0-1.23","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","84","153905","0.0-6.0-2.0-2.23","","","","","791","2","","[""triangle"",""star_1"",""circle"",""hexagram""]","","","","","","","","","","","","[{""x"":882,""y"":806,""t"":4},{""x"":924,""y"":762,""t"":43},{""x"":935,""y"":695,""t"":72},{""x"":962,""y"":656,""t"":105},{""x"":978,""y"":630,""t"":140},{""x"":979,""y"":607,""t"":175},{""x"":980,""y"":592,""t"":208},{""x"":967,""y"":574,""t"":243},{""x"":921,""y"":559,""t"":277},{""x"":924,""y"":565,""t"":310},{""x"":938,""y"":559,""t"":343},{""x"":961,""y"":510,""t"":378},{""x"":965,""y"":465,""t"":411},{""x"":1020,""y"":428,""t"":446},{""x"":995,""y"":416,""t"":480},{""x"":1019,""y"":440,""t"":513},{""x"":1018,""y"":502,""t"":547},{""x"":994,""y"":564,""t"":582},{""x"":987,""y"":616,""t"":616},{""x"":965,""y"":642,""t"":650},{""x"":999,""y"":685,""t"":683},{""x"":1006,""y"":715,""t"":718},{""x"":1004,""y"":741,""t"":752}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram","2","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]"
"","canvas-keyboard-response","85","154913","0.0-6.0-2.0-0.24","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","86","155022","0.0-6.0-2.0-1.24","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","87","156725","0.0-6.0-2.0-2.24","","","","","695","4","","[""star"",""hexagram_1"",""triangle"",""circle""]","","","","","","","","","","","","[{""x"":1030,""y"":729,""t"":4},{""x"":976,""y"":691,""t"":39},{""x"":977,""y"":675,""t"":72},{""x"":975,""y"":644,""t"":107},{""x"":985,""y"":628,""t"":140},{""x"":966,""y"":597,""t"":174},{""x"":969,""y"":580,""t"":208},{""x"":972,""y"":567,""t"":239},{""x"":961,""y"":574,""t"":276},{""x"":981,""y"":561,""t"":310},{""x"":983,""y"":562,""t"":343},{""x"":954,""y"":553,""t"":378},{""x"":905,""y"":537,""t"":411},{""x"":894,""y"":514,""t"":446},{""x"":887,""y"":509,""t"":493},{""x"":864,""y"":504,""t"":522},{""x"":854,""y"":490,""t"":552},{""x"":851,""y"":475,""t"":582},{""x"":831,""y"":469,""t"":616},{""x"":822,""y"":468,""t"":649}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","4","true","[{""x"":250,""y"":500,""width"":100,""height"":100,""top"":450,""right"":300,""bottom"":550,""left"":200},{""x"":550,""y"":200,""width"":92.37604307034013,""height"":80,""top"":160,""right"":596.18802153517,""bottom"":240,""left"":503.81197846482996},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","88","157733","0.0-6.0-2.0-0.25","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","89","157841","0.0-6.0-2.0-1.25","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""5"",""6"",""4"",""5"",""2"",""5"",""8"",""8"",""6"",""4"",""8"",""6"",""4"",""2"",""6"",""5"",""5"",""8"",""2"",""6"",""2"",""2"",""4"",""2"",""4"",""2"",""6"",""5"",""2"",""6"",""8"",""2"",""4"",""4"",""4"",""8"",""6"",""8"",""6"",""6"",""8"",""4"",""4"",""5"",""2"",""5"",""8"",""5""]","1000","4","0","","","","","",""
"","canvas-keyboard-response","90","159606","0.0-6.0-2.0-2.25","","","","","759","5","","[""triangle"",""star"",""rect"",""hexagram_1""]","","","","","","","","","","","","[{""x"":872,""y"":498,""t"":3},{""x"":908,""y"":524,""t"":39},{""x"":923,""y"":518,""t"":72},{""x"":952,""y"":530,""t"":106},{""x"":952,""y"":529,""t"":140},{""x"":960,""y"":517,""t"":174},{""x"":978,""y"":489,""t"":208},{""x"":978,""y"":480,""t"":241},{""x"":991,""y"":466,""t"":276},{""x"":1013,""y"":439,""t"":310},{""x"":1028,""y"":404,""t"":344},{""x"":1077,""y"":371,""t"":378},{""x"":1104,""y"":350,""t"":412},{""x"":1144,""y"":352,""t"":445},{""x"":1179,""y"":356,""t"":479},{""x"":1216,""y"":360,""t"":513},{""x"":1272,""y"":351,""t"":548},{""x"":1311,""y"":353,""t"":583},{""x"":1333,""y"":388,""t"":616},{""x"":1283,""y"":450,""t"":651},{""x"":1232,""y"":502,""t"":684},{""x"":1195,""y"":547,""t"":718}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","hexagram_1","2","false","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":100,""height"":100,""top"":150,""right"":600,""bottom"":250,""left"":500},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":92.37604307034013,""height"":80,""top"":760,""right"":596.18802153517,""bottom"":840,""left"":503.81197846482996}]"
