success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,stimulus,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,ans,ISI,type,size,webgazer_data,webgazer_targets,response_target,response_answer,correct,webgazer_targets_data
,canvas-keyboard-response,101,131029,0.0-6.0-2.0-2.29,,,,,902,2,,"[""red"",""purple"",""yellow"",""green""]",,,,,,,,,,,,"[{""x"":1351,""y"":461,""t"":4},{""x"":1317,""y"":461,""t"":47},{""x"":1300,""y"":458,""t"":72},{""x"":1280,""y"":456,""t"":107},{""x"":1261,""y"":438,""t"":140},{""x"":1284,""y"":429,""t"":173},{""x"":1253,""y"":413,""t"":210},{""x"":1250,""y"":396,""t"":240},{""x"":1272,""y"":388,""t"":276},{""x"":1254,""y"":397,""t"":311},{""x"":1283,""y"":422,""t"":344},{""x"":1253,""y"":478,""t"":378},{""x"":1213,""y"":565,""t"":413},{""x"":1223,""y"":632,""t"":446},{""x"":1222,""y"":688,""t"":481},{""x"":1205,""y"":720,""t"":514},{""x"":1205,""y"":747,""t"":548},{""x"":1197,""y"":776,""t"":581},{""x"":1201,""y"":805,""t"":616},{""x"":1206,""y"":826,""t"":647},{""x"":1209,""y"":817,""t"":684},{""x"":1164,""y"":819,""t"":718},{""x"":1164,""y"":823,""t"":752},{""x"":1161,""y"":822,""t"":786},{""x"":1149,""y"":834,""t"":820},{""x"":1136,""y"":851,""t"":854}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",green,2,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
,canvas-keyboard-response,102,132036,0.0-6.0-2.0-0.30,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,103,132144,0.0-6.0-2.0-1.30,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,104,133725,0.0-6.0-2.0-2.30,,,,,574,8,,"[""red"",""green"",""blue"",""purple""]",,,,,,,,,,,,"[{""x"":1163,""y"":831,""t"":5},{""x"":1151,""y"":735,""t"":39},{""x"":1151,""y"":679,""t"":73},{""x"":1156,""y"":657,""t"":107},{""x"":1160,""y"":625,""t"":141},{""x"":1162,""y"":565,""t"":174},{""x"":1182,""y"":553,""t"":209},{""x"":1206,""y"":576,""t"":242},{""x"":1190,""y"":592,""t"":276},{""x"":1169,""y"":545,""t"":310},{""x"":1149,""y"":520,""t"":344},{""x"":1154,""y"":503,""t"":377},{""x"":1171,""y"":464,""t"":412},{""x"":1182,""y"":367,""t"":446},{""x"":1170,""y"":328,""t"":479},{""x"":1191,""y"":304,""t"":514},{""x"":1213,""y"":281,""t"":548}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",green,8,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
,canvas-keyboard-response,105,134734,0.0-6.0-2.0-0.31,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,106,134842,0.0-6.0-2.0-1.31,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,107,136341,0.0-6.0-2.0-2.31,,,,,492,4,,"[""yellow"",""red"",""green"",""purple""]",,,,,,,,,,,,"[{""x"":1179,""y"":302,""t"":5},{""x"":1198,""y"":377,""t"":46},{""x"":1147,""y"":438,""t"":72},{""x"":1148,""y"":470,""t"":106},{""x"":1122,""y"":504,""t"":140},{""x"":1148,""y"":539,""t"":175},{""x"":1184,""y"":607,""t"":209},{""x"":1183,""y"":623,""t"":241},{""x"":1202,""y"":666,""t"":276},{""x"":1185,""y"":691,""t"":310},{""x"":1191,""y"":710,""t"":344},{""x"":1162,""y"":717,""t"":379},{""x"":1129,""y"":700,""t"":412},{""x"":1092,""y"":689,""t"":445}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",yellow_1,4,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
,canvas-keyboard-response,108,137350,0.0-6.0-2.0-0.32,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,109,137458,0.0-6.0-2.0-1.32,,,,,null,null,,,,,,,,,recognition,"[""5"",""5"",""5"",""8"",""5"",""8"",""2"",""5"",""8"",""4"",""4"",""2"",""8"",""5"",""6"",""8"",""4"",""4"",""4"",""2"",""6"",""8"",""6"",""2"",""6"",""2"",""4"",""5"",""6"",""2"",""8"",""4"",""6"",""2"",""2"",""6"",""2"",""8"",""5"",""4"",""8"",""2"",""8"",""6"",""5"",""5"",""4"",""6"",""4"",""6""]",1000,color,4,,,,,,
,canvas-keyboard-response,110,139071,0.0-6.0-2.0-2.32,,,,,605,6,,"[""yellow"",""purple"",""red"",""green""]",,,,,,,,,,,,"[{""x"":1041,""y"":709,""t"":5},{""x"":1087,""y"":683,""t"":39},{""x"":1101,""y"":636,""t"":72},{""x"":1098,""y"":567,""t"":107},{""x"":1088,""y"":490,""t"":139},{""x"":1098,""y"":449,""t"":175},{""x"":1089,""y"":410,""t"":208},{""x"":1072,""y"":403,""t"":240},{""x"":1087,""y"":381,""t"":276},{""x"":1088,""y"":380,""t"":310},{""x"":1133,""y"":397,""t"":344},{""x"":1204,""y"":404,""t"":378},{""x"":1246,""y"":426,""t"":411},{""x"":1275,""y"":453,""t"":447},{""x"":1313,""y"":470,""t"":480},{""x"":1366,""y"":497,""t"":514},{""x"":1396,""y"":523,""t"":548},{""x"":1416,""y"":526,""t"":583}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",red,6,TRUE,"[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]"
