"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","45","100294","0.0-5.0-3.0-0.11","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","46","100403","0.0-5.0-3.0-1.11","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","47","101393","0.0-5.0-3.0-2.11","","","","","476","4","","","[""triangle"",""rect""]","","","","","","","","","","","[{""x"":878,""y"":605,""t"":4},{""x"":840,""y"":625,""t"":41},{""x"":854,""y"":613,""t"":72},{""x"":825,""y"":629,""t"":112},{""x"":841,""y"":620,""t"":141},{""x"":841,""y"":604,""t"":188},{""x"":842,""y"":589,""t"":215},{""x"":856,""y"":590,""t"":242},{""x"":850,""y"":613,""t"":283},{""x"":902,""y"":615,""t"":311},{""x"":898,""y"":635,""t"":346},{""x"":868,""y"":648,""t"":379},{""x"":882,""y"":615,""t"":424},{""x"":862,""y"":629,""t"":452}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle","4","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","48","102414","0.0-5.0-3.0-0.12","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","49","102528","0.0-5.0-3.0-1.12","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","50","103497","0.0-5.0-3.0-2.12","","","","","451","6","","","[""rect"",""triangle""]","","","","","","","","","","","[{""x"":891,""y"":618,""t"":4},{""x"":921,""y"":613,""t"":40},{""x"":891,""y"":631,""t"":72},{""x"":878,""y"":656,""t"":106},{""x"":862,""y"":668,""t"":152},{""x"":881,""y"":650,""t"":177},{""x"":890,""y"":617,""t"":208},{""x"":910,""y"":610,""t"":245},{""x"":909,""y"":628,""t"":276},{""x"":972,""y"":623,""t"":322},{""x"":1044,""y"":612,""t"":347},{""x"":1108,""y"":586,""t"":378},{""x"":1168,""y"":574,""t"":418}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","triangle","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":92,""height"":92,""top"":454,""right"":896,""bottom"":546,""left"":804}]"
"","canvas-keyboard-response","51","104510","0.0-5.0-3.0-0.13","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","52","104631","0.0-5.0-3.0-1.13","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","53","105633","0.0-5.0-3.0-2.13","","","","","482","6","","","[""triangle"",""rect""]","","","","","","","","","","","[{""x"":1145,""y"":612,""t"":4},{""x"":1071,""y"":612,""t"":39},{""x"":1008,""y"":618,""t"":72},{""x"":940,""y"":628,""t"":120},{""x"":899,""y"":632,""t"":144},{""x"":858,""y"":648,""t"":174},{""x"":830,""y"":648,""t"":213},{""x"":815,""y"":655,""t"":242},{""x"":804,""y"":669,""t"":277},{""x"":844,""y"":681,""t"":321},{""x"":881,""y"":690,""t"":348},{""x"":928,""y"":693,""t"":378},{""x"":973,""y"":693,""t"":417},{""x"":1017,""y"":718,""t"":446}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect","6","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","54","106647","0.0-5.0-3.0-0.14","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","55","106769","0.0-5.0-3.0-1.14","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
"","canvas-keyboard-response","56","107794","0.0-5.0-3.0-2.14","","","","","506","4","","","[""rect"",""circle""]","","","","","","","","","","","[{""x"":989,""y"":712,""t"":4},{""x"":957,""y"":697,""t"":40},{""x"":961,""y"":715,""t"":72},{""x"":933,""y"":711,""t"":109},{""x"":907,""y"":705,""t"":141},{""x"":887,""y"":689,""t"":187},{""x"":891,""y"":690,""t"":211},{""x"":878,""y"":689,""t"":243},{""x"":868,""y"":691,""t"":279},{""x"":877,""y"":704,""t"":309},{""x"":876,""y"":696,""t"":356},{""x"":873,""y"":662,""t"":380},{""x"":830,""y"":659,""t"":413},{""x"":789,""y"":662,""t"":449},{""x"":755,""y"":647,""t"":480}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","rect","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","57","108805","0.0-5.0-3.0-0.15","","","","","null","null","","","","","","","","","recognition","[""4"",""6"",""4"",""5"",""5"",""4"",""6"",""6"",""5"",""6"",""5"",""4"",""6"",""6"",""4"",""5"",""4"",""5"",""5"",""4"",""4"",""5"",""5"",""6"",""6"",""4"",""6"",""4"",""6"",""4"",""6"",""6"",""5"",""5"",""5"",""4""]","500","2","shape","","","","","",""
