"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","webgazer_data","webgazer_targets","size","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","85","199514","0.0-5.0-5.0-2.4","","","","","613","5","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":712,""y"":617,""t"":3},{""x"":779,""y"":568,""t"":39},{""x"":847,""y"":569,""t"":87},{""x"":885,""y"":621,""t"":107},{""x"":936,""y"":616,""t"":147},{""x"":989,""y"":589,""t"":175},{""x"":1022,""y"":576,""t"":208},{""x"":1053,""y"":579,""t"":244},{""x"":1088,""y"":563,""t"":277},{""x"":1072,""y"":571,""t"":311},{""x"":990,""y"":603,""t"":353},{""x"":919,""y"":582,""t"":379},{""x"":804,""y"":614,""t"":415},{""x"":740,""y"":627,""t"":446},{""x"":727,""y"":610,""t"":493},{""x"":789,""y"":608,""t"":521},{""x"":844,""y"":605,""t"":545},{""x"":948,""y"":601,""t"":583}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","green","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","86","200533","0.0-5.0-5.0-0.5","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","87","200640","0.0-5.0-5.0-1.5","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","88","201990","0.0-5.0-5.0-2.5","","","","","339","6","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":978,""y"":586,""t"":3},{""x"":969,""y"":597,""t"":46},{""x"":998,""y"":599,""t"":72},{""x"":987,""y"":624,""t"":108},{""x"":978,""y"":612,""t"":140},{""x"":954,""y"":623,""t"":187},{""x"":964,""y"":615,""t"":215},{""x"":962,""y"":610,""t"":242},{""x"":984,""y"":617,""t"":281},{""x"":1050,""y"":601,""t"":310}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","green","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","89","203010","0.0-5.0-5.0-0.6","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","90","203119","0.0-5.0-5.0-1.6","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","91","204550","0.0-5.0-5.0-2.6","","","","","415","5","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":1015,""y"":631,""t"":3},{""x"":966,""y"":629,""t"":38},{""x"":971,""y"":593,""t"":77},{""x"":974,""y"":591,""t"":106},{""x"":926,""y"":627,""t"":140},{""x"":949,""y"":596,""t"":186},{""x"":961,""y"":579,""t"":212},{""x"":994,""y"":608,""t"":241},{""x"":955,""y"":612,""t"":283},{""x"":939,""y"":616,""t"":309},{""x"":918,""y"":591,""t"":346},{""x"":861,""y"":616,""t"":378}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","green","5","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","92","205572","0.0-5.0-5.0-0.7","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","93","205679","0.0-5.0-5.0-1.7","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","94","207063","0.0-5.0-5.0-2.7","","","","","373","4","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":883,""y"":658,""t"":3},{""x"":918,""y"":657,""t"":37},{""x"":941,""y"":635,""t"":80},{""x"":954,""y"":649,""t"":108},{""x"":941,""y"":673,""t"":140},{""x"":965,""y"":625,""t"":175},{""x"":978,""y"":645,""t"":208},{""x"":980,""y"":607,""t"":254},{""x"":991,""y"":617,""t"":278},{""x"":910,""y"":671,""t"":311},{""x"":826,""y"":672,""t"":349}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","green","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
